S. No.,text,task_1
460,এরা প্রকৃত শিক্ষিত!? এরা গরিমার বঙ্গের মন্ত্রী!?আবার শিক্ষা মন্ত্রী !? -যেমন মুখ্য তেমনি সখ্য! মানিকরা জুটেছে ভালো!! বাংলার /বাঙালীর শিক্ষা দীক্ষা সংস্কৃতি ঐতিহ্য সব শেষ করে দিলো।-আবার বলে এ নিয়ে কার কি বলার আছে!? বাপের পৈতৃক কারখানা যেন শিক্ষা দফতর!!,HOF
461,এত সুন্দর ভাবে শুরু হল।পুরোটাই শুনলাম। তবে যিনি সাক্ষাৎকার নিচ্ছেন তিনি প্রদীপ্ত ভট্টাচার্যকে কোনো টপিকই পুরো করতে দিচ্ছেন না। একটা শেষ হওয়ার আগে তার উপরেই আরেকটা প্রশ্ন চাপিয়ে দিচ্ছেন। যেটা আমার ভীষণ অস্বস্তিকর লাগল।..,NOT
462,ওনাদের মূল্যবৃদ্ধি নিয়ে কোন কথা বলতে শুনি না. পেট্রোল-ডিজেলের দাম কমানো নিয়ে কোনো বক্তব্য শুনি না.,NOT
463,যথাযত উত্তর...... তবে যারা খিল্লি করছে..... তাদের এই উত্তর এর মর্ম বোঝার বা তার এই বিশ্লেষণের মানে বোঝার ক্ষমতা নেই...... যে যতই চেষ্টা করুক মুড়ি আর মিছরির এক দর হতে পারে না..... সুতরাং এদের কথা গায়ে মাখার কোনো দরকার আছে বলে আমার মনে হয় না.....,NOT
464,"দাদা এখানে কিছু তৃনমুল কর্মি আছে যারা কোনো কাজ করেনা শুধু দেওয়াল লিখন করে,পতাকা লাগায়, ফাট দেখায়, দাদা নামগুলি দেব! স্কুল গুলিতে মমতা আসার পর একটি ও মাস্টার নিয়োগ হয়নি, যদি মাস্টার হিসাবে নিয়োগ করে দিতেন ছেলে গুলির উদ্দ্যেগ বাড়ত দাদা।",NOT
465,তৃণমূল আবার মিনারেল ওয়াটার কবে ছিল!!,NOT
466,শারদীয় দুর্গোৎসব বাঙালী সনাতনী ভাই-বোনদের সবচেয়ে গুরুত্বপূর্ণ আনন্দোৎসব। এই উৎসব মুখরিত সময়ে নিউজের কি আকালই না পড়েছে....😀😀,NOT
467,"দূর্নীতি করবো বড় গলায়, কার কি বলার আছে ⁉️",NOT
468,সিনেমা অভিনেতা আর এস এস এর লোক? তা না হলে মাথায় রুমাল দিয়ে ঢাকা দেননি কেন?,NOT
469,"দিল্লী পুলিশ বহুদিন আগেই হলফনামা দিয়েছে, যে ওখানে ধর্না প্রদর্শন করতে পারবেননা। high security zone বলে। তারপরেও ওখানে কি নাটক না করলেও চলছিল না? এই আন্দোলন দুর্ভাগ্যজনক ভাবে রাজনৈতিক হয়ে গেছে....এরা প্রত্যেকেই টিকিট পাবে। এমন সব স্লোগান উঠছে ওখানে, যা প্রমাণ করে এর পিছনে ইন্ধন আছে। নয়তো বেছে বেছে ভিনেশ ফোগট আর সাক্ষী মালিক ই ক্যামেরা ফ্রন্টে আসছে কেন? বাকি মুখ গুলো কই? তবে হ্যাঁ আমিও মানি, যে সরকারের উচিত ছিল আরো smartly ব্যাপার টা handling করা। এতে sympathy পেয়ে গেল ওরা।",HOF
